{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65009', 'destinationIp': '192.168.1.92', 'destinationPort': '8009', 'status': 'ESTABLISHED', 'pid': '16084'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65011', 'destinationIp': '23.22.52.44', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '16084'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65013', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65057', 'destinationIp': '192.168.1.82', 'destinationPort': '8009', 'status': 'ESTABLISHED', 'pid': '16084'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65089', 'destinationIp': '192.168.1.91', 'destinationPort': '8009', 'status': 'ESTABLISHED', 'pid': '16084'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65131', 'destinationIp': '52.114.128.205', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '17004'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65135', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65332', 'destinationIp': '205.132.16.195', 'destinationPort': '44345', 'status': 'ESTABLISHED', 'pid': '5936'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65359', 'destinationIp': '20.7.1.246', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '6192'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65362', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
